naics,naics22,mapping_type
711130,711130,self_mapping
711190,711190,self_mapping
711211,711211,self_mapping
711212,711212,self_mapping
711219,711219,self_mapping
711310,711310,self_mapping
711320,711320,self_mapping
711410,711410,self_mapping
711510,711510,self_mapping
712110,712110,self_mapping
712120,712120,self_mapping
712130,712130,self_mapping
712190,712190,self_mapping
713110,713110,self_mapping
713120,713120,self_mapping
713210,713210,self_mapping
713290,713290,self_mapping
713910,713910,self_mapping
713920,713920,self_mapping
713930,713930,self_mapping
713940,713940,self_mapping
713950,713950,self_mapping
713990,713990,self_mapping
721110,721110,self_mapping
721120,721120,self_mapping
721191,721191,self_mapping
721199,721199,self_mapping
721211,721211,self_mapping
721214,721214,self_mapping
721310,721310,self_mapping
722310,722310,self_mapping
722320,722320,self_mapping
722330,722330,self_mapping
722410,722410,self_mapping
722511,722511,self_mapping
722513,722513,self_mapping
722514,722514,self_mapping
722515,722515,self_mapping
811111,811111,self_mapping
811112,811114,official_crosswalk
811118,811114,official_crosswalk
811113,811114,official_crosswalk
811121,811121,self_mapping
811122,811122,self_mapping
811191,811191,self_mapping
811192,811192,self_mapping
811198,811198,self_mapping
811212,811210,official_crosswalk
811211,811210,official_crosswalk
811219,811210,official_crosswalk
811213,811210,official_crosswalk
811310,811310,self_mapping
811411,811411,self_mapping
811412,811412,self_mapping
811420,811420,self_mapping
811430,811430,self_mapping
811490,811490,self_mapping
812111,812111,self_mapping
812112,812112,self_mapping
812113,812113,self_mapping
812191,812191,self_mapping
812199,812199,self_mapping
812210,812210,self_mapping
812220,812220,self_mapping
812310,812310,self_mapping
812320,812320,self_mapping
812331,812331,self_mapping
812332,812332,self_mapping
812910,812910,self_mapping
812921,812921,self_mapping
812922,812922,self_mapping
812930,812930,self_mapping
812990,812990,self_mapping
813110,813110,self_mapping
813211,813211,self_mapping
813212,813212,self_mapping
813219,813219,self_mapping
813311,813311,self_mapping
813312,813312,self_mapping
813319,813319,self_mapping
813410,813410,self_mapping
813910,813910,self_mapping
813920,813920,self_mapping
813930,813930,self_mapping
813940,813940,self_mapping
813990,813990,self_mapping
814110,814110,self_mapping
