Country,iso3,sector_code,impVal,continent,region,world_weight,regional_weight,world_denominator,regional_denominator
Dominican Republic,DOM,31ND,2750189241.0,North America,RoWorld,0.003183368527654551,0.06590167302774462,863924241604.0,41731705959.0
Dominican Republic,DOM,33DG,4022440039.0,North America,RoWorld,0.002047159491708589,0.07883702551651978,1964888449235.0,51022219733.0
Dominican Republic,DOM,Other,348425392.0,North America,RoWorld,0.002375224569036275,0.03902683210457446,146691557734.0,8927842031.0
Ecuador,ECU,11,3137716073.0,South America,RoWorld,0.03920526701258181,0.12378390170803923,80033023930.0,25348337140.0
Ecuador,ECU,21,3546786656.0,South America,RoWorld,0.020579324778487833,0.11146757470196766,172347085931.0,31818999072.0
Ecuador,ECU,31ND,706968413.0,South America,RoWorld,0.0008183222312264455,0.016940798291221852,863924241604.0,41731705959.0
Ecuador,ECU,33DG,712658035.0,South America,RoWorld,0.00036269643463854794,0.013967601541629305,1964888449235.0,51022219733.0
Ecuador,ECU,Other,420177086.0,South America,RoWorld,0.0028643576528236147,0.04706367838286408,146691557734.0,8927842031.0
El Salvador,SLV,11,86343566.0,North America,RoWorld,0.0010788492269830944,0.0034062812689889923,80033023930.0,25348337140.0
El Salvador,SLV,31ND,1793482860.0,North America,RoWorld,0.0020759723753903934,0.04297650476503493,863924241604.0,41731705959.0
El Salvador,SLV,33DG,218962425.0,North America,RoWorld,0.00011143758572414112,0.004291511152314295,1964888449235.0,51022219733.0
El Salvador,SLV,Other,212423940.0,North America,RoWorld,0.0014480992858852478,0.023793425025040074,146691557734.0,8927842031.0
Estonia,EST,11,7585931.0,Europe,Europe,9.478501033067239e-05,0.0013856265288136609,80033023930.0,5474729909.0
Estonia,EST,21,7368885.0,Europe,Europe,4.275607539398821e-05,0.003029555980573248,172347085931.0,2432331684.0
Estonia,EST,31ND,113831447.0,Europe,Europe,0.00013176091318916518,0.00036247611439001567,863924241604.0,314038477243.0
Estonia,EST,33DG,909404775.0,Europe,Europe,0.0004628276864032985,0.002445369998125838,1964888449235.0,371888415944.0
Estonia,EST,Other,27212942.0,Europe,Europe,0.0001855113029022843,0.0004744437946362242,146691557734.0,57357567551.0
Falkland Islands (Islas Malvinas),FLK,11,19743512.0,South America,RoWorld,0.00024669206573112173,0.0007788878572568961,80033023930.0,25348337140.0
Falkland Islands (Islas Malvinas),FLK,31ND,3262.0,South America,RoWorld,3.77579403715264e-09,7.816598734796045e-08,863924241604.0,41731705959.0
