Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Australia,13002340.0,8537109160,85,8537109160,335314,335314,direct_2022
Cocos (Keeling) Islands,2797.0,8537109160,85,8537109160,335314,335314,direct_2022
New Caledonia,58064.0,8537109160,85,8537109160,335314,335314,direct_2022
New Zealand,1722450.0,8537109160,85,8537109160,335314,335314,direct_2022
Australia,11299443.0,8537109170,85,8537109170,335313,335313,direct_2022
Christmas Island,41785.0,8537109170,85,8537109170,335313,335313,direct_2022
French Polynesia,6460.0,8537109170,85,8537109170,335313,335313,direct_2022
New Zealand,3307725.0,8537109170,85,8537109170,335313,335313,direct_2022
Australia,3435052.0,8537200020,85,8537200020,335313,335313,direct_2022
New Zealand,6376.0,8537200020,85,8537200020,335313,335313,direct_2022
Australia,158906.0,8537200040,85,8537200040,335313,335313,direct_2022
New Zealand,2299.0,8537200040,85,8537200040,335313,335313,direct_2022
Australia,250237.0,8538100000,85,8538100000,335313,335313,direct_2022
New Zealand,151543.0,8538100000,85,8538100000,335313,335313,direct_2022
Australia,15979.0,8538901000,85,8538901000,334418,334418,direct_2022
New Zealand,257668.0,8538901000,85,8538901000,334418,334418,direct_2022
Australia,965580.0,8538903000,85,8538903000,334418,334418,direct_2022
Cocos (Keeling) Islands,9228.0,8538903000,85,8538903000,334418,334418,direct_2022
New Zealand,46486.0,8538903000,85,8538903000,334418,334418,direct_2022
Australia,3800.0,8538906000,85,8538906000,335313,335313,direct_2022
Australia,74816.0,8538908120,85,8538908120,335313,335313,direct_2022
Marshall Islands,3551.0,8538908140,85,8538908140,335931,335931,direct_2022
New Zealand,10956.0,8538908140,85,8538908140,335931,335931,direct_2022
Australia,425779.0,8538908160,85,8538908160,335313,335313,direct_2022
